[WARNING] 2025-06-27 13:34:34,544 django.request:log_response():246 - Not Found: /
[WARNING] 2025-06-27 13:34:35,198 django.request:log_response():246 - Not Found: /favicon.ico
[WARNING] 2025-06-27 13:38:54,268 django.request:log_response():246 - Not Found: /favicon.ico
[WARNING] 2025-06-27 13:39:24,349 django.request:log_response():246 - Not Found: /favicon.ico
[WARNING] 2025-06-27 13:39:53,111 django.request:log_response():246 - Not Found: /favicon.ico
[WARNING] 2025-06-27 13:41:06,138 django.request:log_response():246 - Not Found: /favicon.ico
[INFO] 2025-06-27 13:41:37,350 relay_server.views:get():208 - NodeMetadataView: Request for node metadata (NO AUTH).
[INFO] 2025-06-27 13:41:39,603 relay_server.auth_middleware:__call__():21 - TokenAuthMiddleware: Received token: None
[WARNING] 2025-06-27 13:41:39,603 relay_server.auth_middleware:get_user():30 - TokenAuthMiddleware: No token provided in query string.
[INFO] 2025-06-27 13:41:39,603 relay_server.auth_middleware:__call__():23 - TokenAuthMiddleware: User authenticated: False (user=AnonymousUser)
[INFO] 2025-06-27 13:41:39,809 relay_server.consumers:connect():42 - RPAClientConsumer: Node ABC123 connected from user .
[INFO] 2025-06-27 13:41:39,809 relay_server.consumers:receive():63 - RPAClientConsumer: Received message type 'register_metadata' from node ABC123 (Req ID: None).
[WARNING] 2025-06-27 13:41:39,809 relay_server.consumers:receive():182 - RPAClientConsumer: Unknown message type 'register_metadata' from node ABC123.
[INFO] 2025-06-27 13:42:28,605 relay_server.views:post():95 - CommandReceiveView: Command 'run_shell_command' (Req ID: 29cf4ecd-64dd-419a-8e22-c175376f8b3d) queued for node ABC123.
[INFO] 2025-06-27 13:42:28,605 relay_server.consumers:send_command_to_node():195 - Command sent to node ABC123 via direct consumer instance. Req ID: aee07bec-f2b8-402e-bd71-35aaddd09abd
[INFO] 2025-06-27 13:42:28,605 relay_server.views:post():95 - CommandReceiveView: Command 'get_screen_size' (Req ID: 30bf1ea1-9cfe-4135-b272-8ed7500d4342) queued for node ABC123.
[INFO] 2025-06-27 13:42:28,605 relay_server.consumers:send_command_to_node():195 - Command sent to node ABC123 via direct consumer instance. Req ID: 6c2e6d25-0e8a-44ba-84fb-569304ed736e
[INFO] 2025-06-27 13:42:28,605 relay_server.views:post():95 - CommandReceiveView: Command 'get_file' (Req ID: bed27f64-9d04-420e-a572-2c9a0316b400) queued for node ABC123.
[INFO] 2025-06-27 13:42:28,605 relay_server.consumers:send_command_to_node():195 - Command sent to node ABC123 via direct consumer instance. Req ID: d1573981-67c0-4055-8b1e-a04056424d52
[INFO] 2025-06-27 13:42:28,605 relay_server.views:post():95 - CommandReceiveView: Command 'type_text' (Req ID: e331e80b-e246-458f-851f-514f26653144) queued for node ABC123.
[INFO] 2025-06-27 13:42:28,621 relay_server.consumers:send_command_to_node():195 - Command sent to node ABC123 via direct consumer instance. Req ID: 1eae41ae-9e13-4334-9e76-ff963c26a79f
[INFO] 2025-06-27 13:42:28,621 relay_server.views:post():95 - CommandReceiveView: Command 'wait' (Req ID: 4b4ceb50-f46c-4def-92b5-87b3bec46056) queued for node ABC123.
[INFO] 2025-06-27 13:42:28,621 relay_server.consumers:send_command_to_node():195 - Command sent to node ABC123 via direct consumer instance. Req ID: cb42d045-ce79-48d4-bc74-3bc6dc0c1a18
[INFO] 2025-06-27 13:42:28,621 relay_server.views:post():95 - CommandReceiveView: Command 'mouse_click' (Req ID: 78462d9c-d2f6-45b8-822a-4cfc0d87c1db) queued for node ABC123.
[INFO] 2025-06-27 13:42:28,621 relay_server.consumers:send_command_to_node():195 - Command sent to node ABC123 via direct consumer instance. Req ID: f2cb0550-0b6a-43bd-a527-9861d2481f97
[INFO] 2025-06-27 13:42:28,621 relay_server.views:post():95 - CommandReceiveView: Command 'launch_application' (Req ID: dde05623-2b6d-4b60-bccc-2c75a29d586c) queued for node ABC123.
[INFO] 2025-06-27 13:42:28,621 relay_server.consumers:send_command_to_node():195 - Command sent to node ABC123 via direct consumer instance. Req ID: 015867f2-f81a-4a50-a168-9f1d7feda511
[INFO] 2025-06-27 13:42:28,621 relay_server.views:post():95 - CommandReceiveView: Command 'mouse_click' (Req ID: 24eb7c02-8cfe-4365-8eb2-ee54d87f4c5d) queued for node ABC123.
[INFO] 2025-06-27 13:42:28,621 relay_server.consumers:send_command_to_node():195 - Command sent to node ABC123 via direct consumer instance. Req ID: a9733f54-5bcf-40a8-8a9d-df7413ba0500
[INFO] 2025-06-27 13:42:28,621 relay_server.views:post():95 - CommandReceiveView: Command 'get_file' (Req ID: 5379617b-41a6-4fa5-8645-c38d8e8507f1) queued for node ABC123.
[INFO] 2025-06-27 13:42:28,621 relay_server.consumers:send_command_to_node():195 - Command sent to node ABC123 via direct consumer instance. Req ID: cfda32e7-1dab-4b1a-9a85-55578de2d5eb
[INFO] 2025-06-27 13:42:28,621 relay_server.views:post():95 - CommandReceiveView: Command 'type_text' (Req ID: 7c12ae6b-e9c1-40de-9dae-8bc0f5c643cc) queued for node ABC123.
[INFO] 2025-06-27 13:42:28,621 relay_server.consumers:send_command_to_node():195 - Command sent to node ABC123 via direct consumer instance. Req ID: cd28ea7a-2491-4ea5-ac0a-4228c21e8090
[INFO] 2025-06-27 13:42:28,661 relay_server.consumers:receive():63 - RPAClientConsumer: Received message type 'node_response' from node ABC123 (Req ID: aee07bec-f2b8-402e-bd71-35aaddd09abd).
[WARNING] 2025-06-27 13:42:28,662 relay_server.consumers:receive():89 - RPAClientConsumer: Received node_response for unknown or stale requestId 'aee07bec-f2b8-402e-bd71-35aaddd09abd'.
[INFO] 2025-06-27 13:42:28,663 relay_server.consumers:receive():63 - RPAClientConsumer: Received message type 'node_response' from node ABC123 (Req ID: 6c2e6d25-0e8a-44ba-84fb-569304ed736e).
